Betweenness Centrality,Closeness Centrality,Degree Centrality,Indegree Centrality,Outdegree Centrality,PageRank,HITS Hubs,HITS Authorities
0.0,0.23083066803163504,0.0007385524372230429,0.00036927621861152144,0.00036927621861152144,0.0002730367195038689,0.00042450847722487256,0.0003923840033826692
0.0,0.2442903410731397,0.0011078286558345645,0.00036927621861152144,0.0007385524372230429,0.00028703493375087667,0.0008983658920834149,0.0007217463512063017
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.0006584410990117718,0.0
0.0,0.1998168931228447,0.00036927621861152144,0.00036927621861152144,0.0,0.00039386571070252317,0.0,2.2764954390961583e-05
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.00042450847722487256,0.0
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.00013900572979274256,0.0
0.0,0.23083066803163504,0.0007385524372230429,0.00036927621861152144,0.00036927621861152144,0.0002730367195038689,0.00042450847722487256,0.0003923840033826692
0.0,0.19970134750230334,0.00036927621861152144,0.00036927621861152144,0.0,0.0002109954157293738,0.0,0.0002698732357807974
0.0,0.2310034762189409,0.00036927621861152144,0.00036927621861152144,0.0,0.0002730367195038689,0.0,0.0003923840033826692
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.00013900572979274256,0.0
0.0,0.2310034762189409,0.00036927621861152144,0.00036927621861152144,0.0,0.0002730367195038689,0.0,0.0003923840033826692
0.0,0.2310034762189409,0.00036927621861152144,0.00036927621861152144,0.0,0.0002730367195038689,0.0,0.0003923840033826692
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.00013900572979274256,0.0
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.0006584410990117718,0.0
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.0006584410990117718,0.0
0.0,0.2444668690047073,0.00036927621861152144,0.00036927621861152144,0.0,0.00028703493375087667,0.0,0.0007217463512063017
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.0006584410990117718,0.0
0.0,0.1998168931228447,0.00036927621861152144,0.00036927621861152144,0.0,0.00039386571070252317,0.0,2.2764954390961583e-05
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.0006584410990117718,0.0
0.0,0.0,0.00036927621861152144,0.0,0.00036927621861152144,0.00015112519281967,0.00042450847722487256,0.0
0.0,0.23083066803163504,0.0007385524372230429,0.00036927621861152144,0.00036927621861152144,0.0002730367195038689,0.00042450847722487256,0.0003923840033826692
0.0,0.2444668690047073,0.00036927621861152144,0.00036927621861152144,0.0,0.00028703493375087667,0.0,0.0007217463512063017
