source,target
70422392,18932422
18932422,101264703
18932422,15455450
15455450,18932422
18932422,2190533245
2190533245,18932422
18932422,248135933
248135933,18932422
18932422,65915718
65915718,18932422
1477918760,18932422
18932422,2826508686
2826508686,18932422
18932422,95013770
18932422,337600744
2206179206,18932422
18932422,2329921
18932422,19677430
19677430,18932422
18932422,1339637532
1339637532,18932422
18932422,2165646554
18932422,17002009
18932422,70266297
18932422,2550133394
18932422,45303184
18932422,59208209
18932422,78269677
78269677,18932422
18932422,260768625
18932422,910827588
3510179057,18932422
18932422,2601589496
2601589496,18932422
18932422,2926864059
2926864059,18932422
18932422,59504716
18932422,2493328698
18932422,16976496
18932422,118263124
18932422,344725369
18932422,375007888
18932422,44973000
44973000,18932422
18932422,7295362
18932422,382158989
18932422,524561395
18932422,273561140
18932422,799830497065050112
18932422,66722583
66722583,18932422
18932422,332134740
332134740,18932422
18932422,717348489215262724
18932422,917738789233217536
18932422,3304471
18932422,22026924
22026924,18932422
18932422,25481069
25481069,18932422
18932422,2346714074
2346714074,18932422
68475307,18932422
18932422,106856453
18932422,14538236
18932422,88673826
18932422,87473622
18932422,393675585
393675585,18932422
18932422,342569184
18932422,341000847
341000847,18932422
18932422,3128829965
3128829965,18932422
18932422,294599794
18932422,28165790
18932422,2354542969
18932422,106064139
18932422,5734242
5734242,18932422
18932422,267249771
18932422,3130629970
18932422,32942338
32942338,18932422
18932422,259403751
18932422,126352685
126352685,18932422
18932422,16868154
16868154,18932422
18932422,15247794
18932422,2422189058
18932422,3107826244
18932422,2988561009
2988561009,18932422
18932422,18059898
18932422,369440364
18932422,495430242
495430242,18932422
18932422,10759032
920700510306529280,18932422
18932422,481094172
18932422,533149076
533149076,18932422
18932422,1086604922
18932422,216939636
18932422,114485232
18932422,1850752598
1850752598,18932422
18932422,2515540081
2515540081,18932422
18932422,14451127
14451127,18932422
604779041,18932422
18932422,16867526
6763242,18932422
18932422,54875928
54875928,18932422
18932422,485865743
485865743,18932422
18932422,549833457
18932422,4149032843
4149032843,18932422
18932422,1891806212
18932422,190161488
18932422,17078917
17078917,18932422
18932422,19540483
18932422,104892871
18932422,59481357
18932422,352053266
18932422,1562578862
18932422,17839109
748315519674048512,18932422
18932422,153327232
18932422,201194687
18932422,14488805
14488805,18932422
18932422,34227622
18932422,48677032
48677032,18932422
18932422,41667342
18932422,28822067
18932422,1530894998
18932422,2457267950
2457267950,18932422
18932422,26000689
18932422,216703645
216703645,18932422
18932422,320603385
18932422,8123222
18932422,15378449
15378449,18932422
18932422,40156543
18932422,301941645
301941645,18932422
132646210,551951577
551951577,132646210
4873684235,132646210
37162329,132646210
2996506102,132646210
132646210,3091376321
891193292385288193,132646210
1204339794471538688,132646210
132646210,33284619
132646210,24603962
1251059396991311872,132646210
132646210,419395379
132646210,19659370
19659370,132646210
132646210,412155441
132646210,72474729
132646210,889657085868298240
889657085868298240,132646210
132646210,25268217
132646210,27131901
132646210,94732055
94732055,132646210
132646210,825382759
132646210,755397390
132646210,18384521
132646210,928760788306878464
132646210,7368332
7368332,132646210
132646210,1065937815022837760
1065937815022837760,132646210
132646210,190778398
190778398,132646210
132646210,331076291
132646210,101045085
101045085,132646210
82541893,132646210
132646210,126274094
126274094,132646210
132646210,43973475
132646210,12755532
12755532,132646210
889461651673690112,132646210
132646210,763432576375779328
132646210,706980266879946752
132646210,3332231
3332231,132646210
132646210,325755342
132646210,1382732563
132646210,26240101
26240101,132646210
132646210,2153743237
1322931373,132646210
132646210,2815077014
3305766383,132646210
132646210,3411494596
132646210,9320372
132646210,1067977726118682625
1067977726118682625,132646210
125721127,132646210
132646210,2424680826
2424680826,132646210
132646210,1991321
132646210,994300581291282432
994300581291282432,132646210
132646210,27990587
132646210,130671142
130671142,132646210
132646210,68443905
68443905,132646210
132646210,48062712
132646210,119512412
132646210,2895770934
132646210,47325650
1110855455696314368,132646210
142293342,132646210
132646210,897060827316072448
132646210,118056286
16102444,132646210
132646210,212276623
212276623,132646210
132646210,1173370158
132646210,2986305078
132646210,71167669
71167669,132646210
132646210,400804254
400804254,132646210
132646210,50706020
50706020,132646210
132646210,37622738
37622738,132646210
132646210,419071399
132646210,103810205
132646210,567383651
567383651,132646210
632815919,132646210
132646210,1255539999467958272
1255539999467958272,132646210
132646210,1259983955408744449
132646210,1432662902
2427734180,132646210
132646210,4863093417
194324277,132646210
132646210,41259586
2890969865,132646210
132646210,2239534928
2239534928,132646210
132646210,150622632
132646210,78912282
78912282,132646210
337797562,132646210
132646210,216016685
132646210,201275909
201275909,132646210
132646210,2842688136
2842688136,132646210
132646210,747665252
747665252,132646210
132646210,296312612
132646210,243082126
243082126,132646210
1014722412,132646210
126062970,132646210
3317549893,132646210
132646210,39697728
39697728,132646210
3272004860,132646210
132646210,2203092098
2203092098,132646210
132646210,2607616422
132646210,721931072
14784786,132646210
132646210,6355402
6355402,132646210
