source,target
19659370,1205609058
19659370,138840988
923649456981135367,19659370
337745478,19659370
19659370,50374439
19659370,840618056678293504
702309206,19659370
17018894,19659370
19659370,117712651
117712651,19659370
19659370,2908007650
2908007650,19659370
19659370,1145584490594443264
1145584490594443264,19659370
19659370,91168371
91168371,19659370
19659370,12044602
2309104237,19659370
19659370,40576466
40576466,19659370
19659370,20499721
19659370,33838201
19659370,940445534556364800
19659370,20304025
20304025,19659370
19659370,221620566
19659370,17707080
19659370,307912317
19659370,14048484
14048484,19659370
19659370,15336340
19659370,41216797
19659370,93655722
1187226845155999749,19659370
19659370,16318928
19659370,359622624
19659370,2273201773
19659370,2877993331
2877993331,19659370
2214711331,19659370
19659370,1376401838
19659370,14341416
19659370,25213966
826837132325027841,19659370
19659370,14254846
14254846,19659370
3257676018,19659370
787735106546827265,19659370
966024156574662656,19659370
1211825303388995584,19659370
19659370,242868086
19659370,140956562
19659370,2577967370
2577967370,19659370
19659370,50095170
19659370,63735508
19659370,434236851
434236851,19659370
19659370,775449094739197953
19659370,103546343
103546343,19659370
19659370,103989154
251614179,19659370
869188290183917568,19659370
19659370,70478255
19659370,1883425892
361288906,19659370
19659370,439572655
439572655,19659370
19659370,111801456
111801456,19659370
19659370,263044687
3279064394,19659370
19659370,4484681
19659370,68784803
19659370,1197369638
19659370,249255635
249255635,19659370
15750573,19659370
19659370,281950081
19659370,21192987
21192987,19659370
19659370,95196023
19659370,50393960
19659370,1365711606
1365711606,19659370
19659370,944810996
19659370,938473643373481985
938473643373481985,19659370
2301908191,19659370
53340169,19659370
19659370,3314775459
19659370,572279177
19659370,17455229
1296322367053082624,19659370
19659370,174959656
174959656,19659370
19659370,1344951
308843719,19659370
19659370,271243941
19659370,3107101390
288823245,19659370
16925097,19659370
19659370,59217922
59217922,19659370
1124623431377543169,19659370
82774113,19659370
19659370,403274895
403274895,19659370
19659370,132646210
132646210,19659370
35749835,19659370
19659370,529771925
529771925,19659370
19659370,11010332
19659370,16136933
16136933,19659370
3353136183,19659370
19659370,343928585
343928585,19659370
19659370,321908821
19659370,5921452
19659370,225110274
19659370,12151932
12151932,19659370
709402060547092481,19659370
19659370,384127183
384127183,19659370
19659370,2317814702
2317814702,19659370
19659370,19203768
4898086443,19659370
19659370,1252063705
2903217440,19659370
3577056016,19659370
19659370,3075691
3075691,19659370
19659370,41572443
147949965,19659370
19659370,22826489
22826489,19659370
19659370,121881387
19659370,8034682
19659370,17580853
19659370,2910644884
2910644884,19659370
19659370,52206988
179571184,19659370
19659370,867297019160707072
856955544845811712,19659370
2310416978,19659370
19659370,359831209
19659370,722242009
14103970,19659370
1376639125,19659370
19659370,467551928
19659370,46342393
19659370,88727377
843009630812995584,19659370
19659370,2460368252
784824594,19659370
19659370,17773969
2527017636,19659370
19659370,989251872107085824
756380725859975168,19659370
19659370,301939006
301939006,19659370
19659370,13920962
119459238,19659370
719967950527205376,19659370
19659370,117539435
849729477533892612,19659370
115718271,19659370
19659370,3243283713
19659370,773280684173463552
19659370,1190461842922995712
19659370,2869101210
19659370,595544862
595544862,19659370
19659370,307755344
19659370,277516046
19659370,781332157
19659370,11892372
11892372,19659370
19659370,36417099
36417099,19659370
19659370,1004448369140551682
1004448369140551682,19659370
19659370,15739506
15739506,19659370
808593541840719872,19659370
125483940,19659370
1140163756267192321,19659370
19659370,1019221160742014976
1019221160742014976,19659370
27366114,19659370
19659370,117483950
117483950,19659370
199175962,19659370
19659370,469405173
19659370,702932794947694592
144779689,19659370
75071601,19659370
19659370,1184821524534059008
19659370,19073790
193640022,19659370
19659370,2523642978
19659370,28401365
19659370,15090415
15090415,19659370
2891809527,19659370
19659370,18728897
18728897,19659370
19659370,4794104842
19659370,606667727
606667727,19659370
982276165992935426,19659370
19659370,709828900
19659370,115091858
19659370,48008938
19659370,11990112
19659370,26976778
19659370,1408239470
19659370,47319664
19659370,2450416195
2450416195,19659370
2253247064,19659370
569203915,19659370
19659370,3841067114
19659370,217377296
217377296,19659370
48354997,19659370
19659370,77200220
77200220,19659370
19659370,10587552
19659370,1617603914
1617603914,19659370
16710690,19659370
2986084527,19659370
19659370,48649222
48649222,19659370
19659370,1068486102930112514
19659370,3074437553
3074437553,19659370
19659370,20003288
19659370,20131383
19659370,1043211642182328320
19659370,78807415
78807415,19659370
19659370,18202677
19659370,720212700
720212700,19659370
19659370,830589635738816512
918943909811769344,19659370
19659370,725387616
725387616,19659370
19659370,1303571503
19659370,2176358690
2176358690,19659370
19659370,356775978
356775978,19659370
771681197781053440,19659370
770233588721868802,19659370
112806109,19659370
1030464891830902784,19659370
19659370,327032058
327032058,19659370
19659370,264501255
944905694,19659370
2803449260,19659370
1276832114856656896,19659370
14575354,19659370
19659370,33474334
19659370,391867472
391867472,19659370
1196193239713353732,19659370
19659370,1023751696697028608
163009576,19659370
2576448008,19659370
19659370,139811295
19659370,46350079
19659370,1865461842
19659370,99015174
99015174,19659370
19659370,2769983813
2769983813,19659370
19659370,834609484781723648
19659370,261126954
261126954,19659370
779769,19659370
19659370,273003435
465693357,19659370
797823007997722624,19659370
19659370,15159648
19659370,5894872
5894872,19659370
19659370,3041372326
3041372326,19659370
19659370,67815277
19659370,1111871
1111871,19659370
19659370,615595875
615595875,19659370
202853969,19659370
19659370,17157367
4827366892,19659370
19659370,204123892
19859014,19659370
19659370,45827605
45827605,19659370
19659370,28245224
28245224,19659370
876083623711174657,19659370
19659370,2382305514
2382305514,19659370
19659370,1962172172
248064213,19659370
47987831,19659370
317158835,19659370
19659370,1138704090106646528
1138704090106646528,19659370
